Country Name,Country Code,Access to electricity (% of population),Adequacy of social protection and labor programs (% of total welfare of beneficiary households),"Air transport, passengers carried",Compensation of employees (current LCU),"Contraceptive prevalence, any method (% of married women ages 15-49)",Control of Corruption: Estimate,Cost of business start-up procedures (% of GNI per capita),"Current education expenditure, total (% of total expenditure in public institutions)",Current health expenditure (% of GDP),Forest area (% of land area),Gini index,Government Effectiveness: Estimate,"Hospital beds (per 1,000 people)",Human capital index (HCI) (scale 0-1),"Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, measles (% of children ages 12-23 months)",Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Intentional homicides (per 100,000 people)","Internally displaced persons, total displaced by conflict and violence (number of people)",Lending interest rate (%),"Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",Logistics performance index: Overall (1=low to 5=high),Losses due to theft and vandalism (% of annual sales for affected firms),"Maternal mortality ratio (national estimate, per 100,000 live births)",Mobile cellular subscriptions (per 100 people),Multidimensional poverty headcount ratio (World Bank) (% of population),Net migration,Out-of-pocket expenditure (% of current health expenditure),"Persistence to last grade of primary, total (% of cohort)","Physicians (per 1,000 people)",Political Stability and Absence of Violence/Terrorism: Estimate,Population living in slums (% of urban population),Pregnant women receiving prenatal care (%),Prevalence of moderate or severe food insecurity in the population (%),Prevalence of severe food insecurity in the population (%),Prevalence of undernourishment (% of population),"Primary completion rate, total (% of relevant age group)",Profit tax (% of commercial profits),Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),Proportion of seats held by women in national parliaments (%),"Pupil-teacher ratio, primary",Rail lines (total route-km),Refugee population by country or territory of asylum,Regulatory Quality: Estimate,Risk of impoverishing expenditure for surgical care (% of people at risk),Rule of Law: Estimate,"Share of youth not in education, employment or training, total (% of youth population)",Statistical performance indicators (SPI): Overall score (scale 0-100),"Suicide mortality rate (per 100,000 population)","Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)",Total greenhouse gas emissions (kt of CO2 equivalent),Total tax and contribution rate (% of profit),"Unemployment, total (% of total labor force) (national estimate)",Voice and Accountability: Estimate,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)"
Cameroon,CMR,62.2,21.5752809,265136.0,1008010000000.0,19.3,-1.162674546,24.8,91.96495183,3.61970162,43.26644243,34.6,-0.857515574,1.65,0.39332068,67.0,67.0,59.0,29.7,1.068858113,3.0007095740000005,668000.0,7.774199065,61.18,77.07103729,2.6,8.071428571428571,45.0,73.59740879,69.9,-9185.0,72.26169586,63.93796158,0.13,-1.401759028,35.94099,87.0,57.0,28.1,5.9,64.43177032,38.9,2.45,31.11111111,44.83412,884.0,380327.0,-0.812619865,50.7,-1.102895379,18.223999999999997,57.39833333,8.9,60.245438,53.445797,91747.67378,57.7,7.9479999999999995,-1.129023314,34.8,46.7
Canada,CAN,100.0,22.7864035225,91504000.0,42476000000.0,20.18,1.789857745,0.3,91.31813049,10.90542507,38.70376294,32.5,1.675177932,2.56,0.800089955,91.0,71.0,90.0,94.64,2.268225672,1.787486053,659000.0,7.174835762500001,81.84390244,63.84596506666667,3.73,8.428571428571429,43.25,89.67401709,72.25,417974.0,15.59457874,69.90443102666667,2.428,0.963774383,47.4557425,88.8,5.1,0.7,2.5,87.26175691,3.9,2.5075000000000003,26.94610778,30.290685,47687.4,114101.0,1.699419856,0.0,1.715095401,12.211,86.57083333,12.0,91.83623,87.020919,742232.5371,20.5,5.837,1.501851201,37.05652173913043,46.353191489361706
Cayman Islands,CYM,100.0,23.997526145000002,77106637.0,51906000000.0,21.060000000000002,0.45631215,71.85,90.687272642,10.951001645,53.375,34.166666666666664,1.158082008,2.462,0.6330696343333334,66.5,56.5,65.5,49.87,1.9401912709999998,10.78848406,650000.0,6.57547246,68.10645122,50.62089284333334,2.94,8.785714285714285,41.5,57.391633080000005,74.6,1054.0,28.633654115,75.87090047333334,1.2469999999999999,1.110623479,58.970495,90.6,7.14,1.28,23.5,110.0917435,1.95,2.5650000000000004,17.7587681755,15.74725,38629.12,34.0,0.966315627,26.900000000000002,0.739916861,20.489666666666665,68.24277777666667,12.4,84.383531,77.007908,381871.279985,46.9,4.269666666666667,0.472064346,39.313043478260866,46.00638297872341
Central African Republic,CAF,14.6,25.2086487675,62709274.0,61336000000.0,21.94,-1.233191371,143.4,90.056414794,10.99657822,35.89681852,35.833333333333336,-1.735271692,2.364,0.46604931366666674,42.0,42.0,41.0,5.1,1.61215687,9.1942186765,641000.0,5.9761091575,54.369,37.39582062,2.15,9.142857142857142,39.75,25.10924907,76.94999999999999,-53083.0,41.67272949,81.83736992,0.066,-2.172087193,70.4852475,92.39999999999999,9.18,1.86,44.5,75.25039102,0.0,2.6225,8.571428571,15.883149999999999,29570.84,6652.0,-1.394326091,53.800000000000004,-1.716630101,28.76833333333333,49.914722223333335,12.8,48.130734,39.761484,21510.02287,73.3,2.7023333333333333,-1.20345211,41.5695652173913,45.65957446808511
Chad,TCD,10.1,26.41977139,48311911.0,3121417333333.3335,22.82,-1.404120088,172.3,89.425556946,4.56768799,3.601493011,37.5,-1.562173605,2.266,0.299028993,46.0,46.0,42.0,7.0,4.274621986,7.599953293,90000.0,5.376745855,52.825,48.935157778000004,2.42,9.5,38.0,44.75798518,79.3,46664.0,64.376091,87.80383936666667,0.052,-1.477965355,82.0,94.2,11.219999999999999,2.4400000000000004,26.8,40.40903854,31.3,2.68,15.25423729,16.01905,20512.559999999998,451203.0,-1.124444842,80.7,-1.331208229,37.047,31.58666667,6.6,48.765319,42.689986,81268.12762,63.5,1.135,-1.464890361,43.826086956521735,45.312765957446814
Channel Islands,CHI,100.0,27.6308940125,33914548.0,6181498666666.667,23.700000000000003,-0.22298568500000004,89.0,88.79469909800001,6.896719935,5.151515152,37.833333333333336,-0.3274615704999999,2.1679999999999997,0.48214706799999996,70.5,70.5,67.5,45.95,3.3547559,6.0056879095,1507750.0,4.777382552500001,81.375,60.474494936,2.87,9.424242424242424,36.25,89.69725134000001,60.75,2353.0,48.811408995,93.77030881333333,1.3235000000000001,-0.532668263,63.925,96.0,13.26,3.0200000000000005,14.8,69.28043556,28.75,2.0766666666666667,18.917441225,16.15495,11454.279999999999,226614.5,0.0880037549999999,43.35,-0.195690036,33.4955,56.045625,7.7,93.140951,88.956692,94316.37656,48.75,4.3790000000000004,-0.2195098995,46.08260869565217,44.96595744680851
Chile,CHL,100.0,28.842016635,19517185.0,9241580000000.0,24.580000000000002,0.958148718,5.7,88.16384125,9.22575188,24.16152903,38.166666666666664,0.907250464,2.07,0.665265143,95.0,95.0,93.0,84.9,2.434889814,4.411422526,2925500.0,4.17801925,80.133,72.01383209400001,3.32,9.348484848484848,34.5,134.6365175,42.199999999999996,237358.0,33.24672699,99.73677826,2.595,0.412628829,45.85,97.8,15.3,3.6,2.8,98.15183258,26.2,1.4733333333333334,22.58064516,16.29085,2396.0,2026.0,1.300452352,6.0,0.939828157,29.944,80.50458333,8.8,90.275067,83.636773,107364.6255,34.0,7.623,1.025870562,48.339130434782604,44.61914893617021
China,CHN,100.0,30.0531392575,611439830.0,23421190000000.0,25.46,-0.286587775,1.2,87.761959075,5.16790485,23.03091218,38.5,0.496618092,4.6,0.647098839,99.0,99.0,99.0,59.2,2.0747904,0.531025484,4343250.0,4.35,77.744,83.553169252,3.61,9.272727272727273,32.75,116.3882038,23.64999999999999,-296674.0,35.75065613,97.374469755,2.124,-0.298641503,27.775000000000006,99.6,29.880000000000003,13.1,2.5,101.86491774000001,11.8,0.87,24.89932886,16.42675,96353.0,321758.0,-0.228585526,15.1,-0.186719537,26.3925,55.53625,8.1,90.058264,81.393775,12524335.16,64.0,4.93,-1.459927917,50.59565217391304,44.272340425531915
Colombia,COL,98.5,31.26426188,33704037.0,37600800000000.0,26.340000000000003,-0.339970648,14.0,87.3600769,7.62541437,53.66424516,50.4,-0.139319524,1.73,0.598653853,92.0,92.0,95.0,64.1264,3.240569329,26.23132516,5761000.0,12.11487774,76.748,95.09250641,2.94,9.196969696969697,31.0,130.9211763,5.1,494364.0,15.1307478,95.01216125,2.202,-0.806959629,9.7,93.86666666666666,44.46000000000001,22.6,4.6,105.5780029,21.7,0.696,18.12865497,23.3015,65449.0,294.0,0.224889174,18.1,-0.38366577,22.841,71.11208333,4.0,87.895772,79.186051,182787.6556,71.9,9.36,0.172091424,52.85217391304347,43.92553191489362
Comoros,COM,81.0,31.03813966,17145845.0154,20152525000000.0,27.220000000000002,-0.851346493,82.5,89.86905860499999,4.90318584,18.16227834,49.8,-1.715946555,1.575,0.400950134,91.0,91.0,90.0,37.9132,2.5446392073333333,22.574857045,4421000.0,10.5,63.912,94.73462946411765,2.56,9.121212121212121,29.25,64.26561932,4.25,-2919.0,67.24486542,95.56886418333333,0.283,-0.361675262,68.6,88.13333333333334,59.040000000000006,32.1,11.7,92.11400093666667,30.4,0.522,6.060606061,28.05781,34545.0,264679.5,-1.18982172,58.00000000000001,-1.142884612,21.800250000000002,55.69916666500001,5.4,68.187757,58.279458,593.247488,219.6,9.272499999999999,-0.494234681,55.10869565217391,43.57872340425532
"Congo, Dem. Rep.",COD,18.7,30.812017439999998,587653.0308,2704250000000.0,28.1,-1.517548561,26.7,92.37804030999999,3.24127173,56.61894974,49.2,-1.572333217,1.42,0.364528745,71.0,71.0,64.0,11.7,1.8487090856666666,18.91838893,3081000.0,24.74833333,59.942,94.37675251823529,2.43,9.045454545454545,27.5,41.87818082,3.4,-124242.0,41.61063766,96.12556711666667,0.362,-2.080746651,77.90169,82.4,73.62,41.6,31.0,78.64999897333333,27.5,0.348,8.943089431,22.77344,3641.0,529065.0,-1.488919735,97.9,-1.803210378,20.759500000000003,40.28625,6.7,61.04112,53.996539,53561.37402,54.6,9.184999999999999,-1.499191761,57.36521739130434,43.231914893617024
"Congo, Rep.",COG,47.0,30.58589522,508978.9399,347180000000.0,49.5,-1.37775588,75.5,94.887022015,1.8976357,64.35139092,48.6,-1.200178146,1.2650000000000001,0.417835534,75.0,75.0,75.0,42.58985,1.152778964,15.261920815,107000.0,17.935812105,64.053,94.01887557235294,2.49,8.969696969696969,25.75,91.89382514,2.55,-8858.0,50.25749588,96.68227005,0.1,-0.348402858,44.18359,90.0,88.2,51.1,30.8,65.18599701,0.0,0.17400000000000004,11.25827815,17.489069999999998,2640.3333333333335,37491.0,-1.412853241,73.0,-1.134261727,19.71875,36.66166667,6.5,62.9762,57.699195,18752.36987,54.3,9.0975,-1.193802595,59.621739130434776,42.88510638297873
Costa Rica,CRI,99.7,30.359773,1950049.0,3102620000000.0,70.9,0.501532555,9.5,97.39600372,7.28587723,58.79612221,48.0,0.352696747,1.11,0.603258789,94.0,98.0,94.0,73.4797,2.221114615,11.6054527,204500.0,11.12329088,79.484,93.66099862647059,2.79,8.893939393939394,24.0,168.5386493,1.7,4198.0,22.4164257,97.23897298333333,2.87,0.453240991,4.46075,97.6,14.5,2.4,3.1,95.62042999,19.2,0.0,45.61403509,12.2047,1639.6666666666667,4531.0,0.476172715,11.2,0.467701107,18.678,76.68916667,7.2,90.956925,83.278961,15749.85459,58.3,9.01,1.119108796,61.87826086956522,42.53829787234043
Cote d'Ivoire,CIV,67.1,19.82506568,825257.0,1483780000000.0,21.5,-0.525697172,2.7,94.6153183,3.0916779,9.630440252,37.2,-0.647259414,3.3149999999999995,0.369968355,84.0,84.0,75.0,37.5465,0.359409031,6.091154261500001,302000.0,9.8596783795,58.849,93.30312168058823,3.08,8.818181818181818,31.3,132.6110689,37.3,-17190.0,39.2853241,97.79567591666667,0.22,-0.898008049,53.21082,97.65599999999999,38.6,9.2,9.0,70.03347015,8.8,1.78,10.58823529,41.8223,639.0,1808.0,-0.254712522,99.9,-0.602161288,16.1245,57.27833333,9.0,51.690427,49.666698,24551.12647,50.1,8.721,-0.248956934,64.13478260869564,42.19148936170213
Croatia,HRV,100.0,18.80573797666667,2093577.0,3068416000.0,22.58823529411765,0.046951234,6.6,95.41201782,6.75,34.55989565,29.7,0.514107943,5.52,0.729365647,93.0,93.0,93.0,75.2946,1.50012501,0.576855823,283500.0,8.596065879000001,78.07073171,92.94524473470588,3.1,8.742424242424242,38.6,105.479914,0.7,-13171.0,11.39,98.35237885,3.383,0.793498814,31.352149999999998,97.71199999999999,10.0,0.9,2.5,99.43863678,0.0,1.424,18.54304636,25.491295,2605.0,787.0,0.489818364,0.3,0.30137977,13.571,66.52166667,16.4,91.803679,81.307984,22213.71599,20.5,8.432,0.44627142,66.3913043478261,41.84468085106383
Cuba,CUB,99.6,17.786410273333335,563540.0,2804488859.3333335,23.676470588235293,0.134128854,8.366666666666667,93.4060382825,11.0184288,31.23314066,30.7,-0.250046611,4.15,0.7377827763333333,99.0,99.0,99.0,62.6789,2.041906288,4.334299297,265000.0,7.3324533785,77.496,92.58736778882353,2.2,8.666666666666666,45.9,47.43291193,0.9,-14219.0,11.17386532,96.72579193,8.427,0.640438855,9.49348,97.768,8.45,0.675,2.5,90.79403687,2.6999999999999997,1.068,53.2231405,9.16029,4305.25,287.0,-1.479342222,0.3333333333333333,-0.464358032,9.3155,71.25361111333333,14.3,87.330708,79.149882,41721.43901,21.066666666666666,1.7,-1.4568187,68.64782608695651,41.49787234042553
Curacao,CUW,100.0,16.76708257,482474.0,2540561718.6666665,24.764705882352942,0.3709775435,10.133333333333333,91.400058745,8.9242144,0.157657658,31.700000000000003,0.31682532999999996,3.21,0.7461999056666666,99.0,98.0,94.5,73.55625,2.583687566,2.7824933670000003,246500.0,6.0688408780000005,79.439,92.22949084294117,2.675,8.59090909090909,53.2,100.9029785,1.1,25591.0,27.76693266,97.65978495333333,5.6674999999999995,0.562416464,9.74425142857143,97.824,6.9,0.45,2.5,96.33536913500001,5.3999999999999995,0.712,35.54014168,13.203138,6005.5,99.0,-0.30838349450000013,0.3666666666666667,0.1284399925,5.06,75.98555555666667,9.25,89.568568,76.962292,25140.879919,21.633333333333333,13.43,-0.2204378844999999,70.90434782608696,41.15106382978723
Cyprus,CYP,100.0,15.747754866666668,401408.0,2276634578.0,25.852941176470587,0.607826233,11.9,89.3940792075,6.83,18.67640693,32.7,0.883697271,2.27,0.754617035,99.0,97.0,90.0,84.4336,1.435491195,1.230687437,228000.0,4.805228377500001,81.382,91.87161389705882,3.15,8.515151515151516,60.5,137.0450965,1.3,4977.0,44.36,98.59377797666667,2.908,0.484394073,9.995022857142857,97.88,5.35,0.22499999999999998,2.5,101.8767014,8.1,0.3560000000000001,17.85714286,17.245986000000002,7705.75,11002.0,0.862575233,0.4,0.721238017,13.21,80.7175,4.2,92.646764,88.397357,8560.320828,22.2,8.504,1.015942931,73.16086956521738,40.804255319148936
Czechia,CZE,100.0,14.728427163333334,8851291.0,234308000000.0,26.941176470588236,0.510070622,1.0,87.38809967,7.47048092,34.62595519,25.0,0.951217532,6.68,0.764516711,97.0,96.0,96.0,80.6882,2.149494949,1.118232206,195885.7142857143,3.541615877,79.02926829,91.51373695117647,3.68,8.43939393939394,67.8,120.5956604,0.0,3193.0,14.18668938,99.527771,4.074,1.02620995,10.245794285714286,97.93599999999999,3.8,0.0,2.5,93.69480896,5.2,0.0,22.0,21.288834,9406.0,2186.0,1.267307997,0.2,1.019899011,5.738,85.21583333,13.6,91.254472,82.234992,123073.8691,46.1,2.246,0.822482824,75.41739130434783,40.45744680851064
Denmark,DNK,100.0,13.709099460000001,8154085.0,91193000000.0,28.029411764705884,2.15647912,0.2,93.33078003,10.1,15.664,28.2,1.810584188,2.62,0.770831823,97.0,90.0,95.0,97.3192,0.813609467,1.005776975,163771.42857142858,4.965150557,80.95365854,91.15586000529412,3.99,8.363636363636363,75.1,125.1362568,0.9,23337.0,13.82,99.81031799,4.215,0.931788921,10.496565714285714,97.99199999999999,5.2,1.1,2.5,100.4138794,17.1,0.0075,37.4301676,25.331682,8685.0,36623.0,1.628394127,0.0,1.773296595,7.683,86.76458333,11.4,91.737718,86.959757,47108.3564,23.8,5.131,1.573501945,77.67391304347825,40.11063829787234
Djibouti,DJI,62.4,12.689771756666667,7456879.0,146660666666.66666,29.11764705882353,-0.742592454,41.9,93.32626215666667,2.33968735,0.243313201,33.36666666666667,-0.985928178,1.42,0.6612845359999999,84.0,84.0,86.0,58.0,0.14797085,9.6807627525,131657.14285714284,6.388685237000001,63.038,90.79798305941176,2.63,8.287878787878787,82.4,37.36641575,1.4,1435.0,29.10495186,97.19405619,2.6654999999999998,-0.133512378,10.747337142857143,98.048,21.0,8.2,19.4,51.73376846,17.7,0.015,26.15384615,29.37453,7964.0,18293.0,-0.74160254,3.233333333333333,-0.950232685,13.288666666666668,37.10166667,9.7,66.816596,57.028996,1367.777974,37.9,5.374333333333333,-1.364383101,79.9304347826087,39.763829787234044
Dominica,DMA,99.6,11.670444053333334,6759673.0,202128333333.3333,30.205882352941174,0.536078513,14.7,93.32174428333333,6.18495989,63.82666667,38.53333333333333,-0.269048989,3.11,0.551737249,94.0,94.0,84.0,66.411,0.989191119,18.35574853,99542.85714285714,7.812219917,73.59,90.44010611352941,2.645,8.212121212121213,89.7,108.4675882,1.9,194.0,30.91319275,94.57779439000001,1.116,1.068851233,10.99810857142857,98.104,36.8,15.299999999999997,6.4,72.75535011,21.8,0.0225,25.0,24.148875,7243.0,9228.5,0.125301272,6.466666666666666,0.704500496,18.894333333333336,49.111666670000005,7.449999999999999,84.304673,73.007765,231.66652,32.6,5.617666666666667,0.797379553,82.18695652173912,39.41702127659575
Dominican Republic,DOM,98.9,10.65111635,6062467.0,257596000000.0,31.294117647058822,-0.830727458,14.1,93.31722640999999,4.12601566,44.0471952,43.7,-0.388692081,1.24,0.506880283,87.0,84.0,91.0,74.822,3.56443426,9.920551523,67428.57142857142,12.5337,73.232,90.08222916764706,2.66,8.136363636363637,97.0,83.02096599,2.4,-29944.0,28.92064285,91.96153259,1.392,0.012199945,11.24888,98.16,52.6,22.4,5.7,93.77693176,29.1,0.03,26.84210526,18.92322,6522.0,164.0,-0.028536692,9.7,-0.365889728,24.5,61.12166667,5.2,82.083882,71.583689,39252.48133,48.8,5.861,0.125113517,84.44347826086957,39.07021276595745
Ecuador,ECU,98.7,28.60833545,5365261.0,9500127311.0,32.38235294117647,-0.629149854,33.3,93.31270853666666,7.82609653,50.83898373,45.4,-0.317857921,1.4,0.59621954,85.0,85.0,83.0,57.5,-0.224103246,5.841673659,35314.28571428571,15.425183335,77.094,89.7243522217647,2.88,8.06060606060606,57.0,92.69594524,3.8,153372.0,30.31152916,96.64293671,1.061,-0.094810791,6.0744,98.216,29.3,9.9,11.9,103.4876175,16.1,0.125625,37.95620438,24.26216,5801.0,101550.0,-0.886888802,22.5,-0.663210571,17.67,73.41375,8.1,86.678783,79.550784,73972.27038,32.3,3.53,0.0011285,86.7,38.72340425531915
"Egypt, Arab Rep.",EGY,100.0,29.588923004999998,12386010.0,5924363655.5,33.470588235294116,-0.514392555,42.6,93.30819066333333,4.74892998,0.045185594,42.0,-0.453962892,1.26,0.492512345,95.0,95.0,94.0,46.9243,14.40146578,29.576488589500002,3200.0,18.31666667,71.367,89.36647527588235,2.82,7.984848484848484,54.13333333333333,90.40274284,4.449999999999999,-61050.0,62.61043167,99.00930023,0.73,-1.188100696,0.89992,98.27199999999999,31.2,7.4,6.3,90.62358856,13.7,0.22125,14.93288591,23.67945,5080.0,246746.0,-0.804274797,27.3,-0.302149117,27.095,74.545,3.0,81.020637,68.850144,331356.7922,46.9,9.855,-1.324804425,86.41333333333334,38.376595744680856
El Salvador,SLV,97.0,30.56951056,2545105.0,2348600000.0,34.55882352941177,-0.586034775,45.1,93.30367279,8.322752,28.61389961,38.6,-0.490081698,1.07,0.544985712,89.0,89.0,87.0,43.8,1.090330006,53.31130352,358833.3333333333,16.715833336,72.555,89.00859833,2.58,7.909090909090909,51.266666666666666,150.3024373,5.1,-54158.0,37.60876465,99.12056731999999,2.936,-0.389219522,16.5,98.328,42.2,14.6,7.1,86.08999634,16.9,0.316875,30.95238095,26.89473,4359.0,44.0,-0.016186897,14.8,-0.930241406,27.149,68.10833333,6.0,82.029662,62.09374,11641.82258,35.6,4.006,0.029691502,86.12666666666667,38.02978723404255
Equatorial Guinea,GNQ,66.5,26.105327207000002,404301.328,175572000000.0,35.64705882352941,-1.542761445,101.2,91.48889414333333,2.85223937,87.88377897,35.833333333333336,-1.196010232,1.0750000000000002,0.6213655673333334,53.0,53.0,53.0,24.549999999999997,1.060074107,36.246791259666665,714466.6666666666,15.115000002,61.191,82.78955841,2.32,7.833333333333333,48.4,39.35997262,3.5666666666666664,15583.0,72.94804382,99.23183441,1.5085,-0.090242371,15.07705,98.384,30.6,10.033333333333333,5.566666666666666,74.50987816,53.0,0.4125,20.0,32.817825,3638.0,1148.0,-1.655249238,10.9,-1.424320102,21.548666666666666,74.32388888666667,8.3,62.088376,54.58206,10907.31395,79.4,4.474666666666667,-1.873327017,85.84,37.682978723404254
Eritrea,ERI,49.1,21.641143854,89136.81591,88523539864.0,36.73529411764706,-1.321923494,23.7,89.67411549666667,4.12701797,8.767757211,33.06666666666667,-1.768241882,1.08,0.6977454226666666,95.0,95.0,93.0,5.3,2.2482004955,19.182278999333334,1070100.0,13.514166668,67.067,76.57051849,2.09,7.757575757575758,45.53333333333333,92.44165895999998,2.033333333333333,-21435.0,48.88093185,99.3431015,0.081,-0.609398246,13.6541,98.44,19.0,5.466666666666667,4.033333333333333,62.92975998,9.2,0.508125,22.0,38.74092,2917.0,2252.0,-2.193431616,7.0,-1.620147109,15.948333333333332,80.53944444333332,11.3,72.454017,64.558425,6129.880168,83.7,4.943333333333333,-2.18433404,85.55333333333334,37.33617021276596
Estonia,EST,100.0,17.176960501,62802.0,1475079728.0,37.8235294117647,1.468725204,1.1,87.85933685,6.6912818,57.03859649,30.3,1.150592685,4.53,0.774125278,92.0,93.0,87.0,89.357,3.436326884,2.117766739,1425733.3333333333,11.913333334,78.24390244,76.79368470473683,3.31,7.681818181818182,42.666666666666664,145.5233453,0.5,7229.0,24.66475487,99.45436859,3.483,0.580257714,12.23115,98.496,7.4,0.9,2.5,96.59681702,7.8,0.60375,26.73267327,38.480641000000006,2196.0,319.0,1.544832945,3.1,1.203603506,10.348,86.755,15.3,90.569628,75.780109,18817.84752,48.5,5.412,1.190116882,85.26666666666667,36.98936170212766
Eswatini,SWZ,74.0,12.712777148,51633.0,8429007240.0,38.91176470588235,-0.231745571,18.3,88.582427976,6.62469387,28.7872093,29.7,-0.672255099,4.346,0.3695409,90.0,90.0,85.0,39.4,4.815061675,2.0060640234,1781366.6666666665,10.3125,59.411,77.01685091947368,3.0700000000000003,7.6060606060606055,39.8,89.85382979,0.62,-9956.0,11.07200813,83.20422363,0.24,-0.377810627,10.8082,98.55199999999999,32.65,7.5,12.9,101.6405106,25.3,0.6993750000000001,7.246376812,38.220362,1475.0,874.0,-0.506258011,22.25,-0.276786596,9.8276,53.71541667,28.5,56.557519,38.982732,2924.752157,35.7,5.8018,-1.369288683,84.98,36.64255319148936
Ethiopia,ETH,44.8,8.248593795,11501244.0,27999508473.0,40.0,-0.50496614,52.7,89.305519102,3.30371761,15.25348958,29.1,-0.666772187,4.162,0.384100586,67.0,67.0,55.0,15.9,13.83303566,1.8943613078,2137000.0,8.767442197666666,65.412,77.24001713421052,2.83,7.53030303030303,36.93333333333334,100.65451769500001,0.74,9309.0,35.49158096,87.29738616750001,0.076,-1.274579644,64.31438,98.608,57.9,14.1,18.0,101.09933983333333,24.6,0.795,38.75685558,37.960083,754.0,903226.0,-0.984722435,41.4,-0.445004612,9.3072,53.59291667,5.4,71.708771,60.685178,148723.7191,37.7,6.1916,-1.161902428,84.69333333333334,36.295744680851065
Faroe Islands,FRO,100.0,11.475437214374999,6585730.0,14488265560.8,36.67142857142857,0.09744861700000007,34.3,90.028610228,3.7047219250000003,0.05730659,28.5,0.05403625950000002,3.9779999999999998,0.527561724,80.5,80.5,75.0,42.400000000000006,8.957256018,1.7826585922,1906500.0,7.222384395333334,82.49512195,77.46318334894737,2.59,7.454545454545455,34.06666666666666,111.4552056,0.8600000000000001,653.0,26.748984335,91.390548705,1.2106666666666668,-0.22068616750000003,36.85719,98.664,41.16666666666667,10.066666666666666,12.45,100.55816906666666,22.1,0.890625,29.18234936,37.699804,2478.0,609579.6666666667,-0.4725888315,27.6,-0.13411284950000002,8.7868,55.867083335000004,7.25,89.731334,87.745071,75400.23782299999,34.95,6.5814,-0.50700634,84.40666666666667,35.94893617021276
Fiji,FJI,95.1,14.70228063375,1670216.0,977022648.6,33.34285714285714,0.699863374,15.9,90.751701354,4.10572624,61.66721401,27.900000000000002,0.774844706,3.794,0.671022862,94.0,94.0,95.0,68.9,4.081476376,1.6709558766,1676000.0,5.677326593,67.81,77.6863495636842,2.35,7.378787878787879,31.2,110.4466178,0.9800000000000001,-11738.0,18.00638771,95.4837112425,2.3453333333333335,0.833207309,9.4,98.72,24.433333333333337,6.033333333333333,6.9,100.0169983,19.6,0.9862500000000001,19.60784314,37.439525,4202.0,315933.3333333334,0.039544772,13.8,0.176778913,8.2664,58.14125,9.1,70.3026,61.654739,2076.756546,32.2,6.9712,0.147889748,84.12,35.602127659574464
Finland,FIN,100.0,17.929124053125,13364839.0,6122737768.0,30.014285714285712,2.171321154,0.8,91.47479248,9.05,73.73321927,27.3,2.013872623,3.61,0.814484,91.0,92.5,96.0,88.89,1.083820984,1.559253161,1445500.0,10.1418612744,81.73414634,77.90951577842105,3.97,7.303030303030303,28.333333333333332,129.6355826,1.1,11646.0,18.43,99.57687378,3.48,0.891700327,18.1331625,98.776,7.7,2.0,2.5,99.70195007,11.9,1.0818750000000001,42.0,37.179246,5926.0,22287.0,1.779110193,0.0,2.034647465,7.746,88.7475,16.2,92.832487,85.926805,56199.93179,37.3,7.361,1.588881493,83.83333333333334,35.25531914893617
France,FRA,100.0,21.155967472500002,70188028.0,135182000000.0,26.685714285714283,1.281640649,0.7,92.15415192,11.20798969,31.20442255,32.4,1.419796348,6.16,0.755960286,96.0,91.0,90.0,82.0432,1.850815083,1.082799845,1215000.0,14.6063959558,82.67560976,78.13268199315789,3.84,7.227272727272727,25.466666666666665,109.5588076,1.7,14391.0,9.49986362,95.7711696625,3.276,0.0137935,26.866325000000003,98.832,6.0,0.7,2.5,91.15171241499999,0.3,1.1775,39.58333333,36.918966999999995,28241.0,368345.0,1.147498608,0.0,1.396100879,13.082,86.82208333,14.2,92.339717,85.13904,422400.0351,60.4,9.018,1.157234788,83.54666666666667,34.90851063829787
French Polynesia,PYF,100.0,24.382810891875003,46826982.464933336,418112500000.0,23.357142857142858,0.21133151650000004,3.3999999999999995,92.220262148,6.976496935,43.05963699,33.4,0.2967019085,5.68,0.6061740815,83.0,80.5,74.5,70.8216,3.299940802,1.4019218105,984500.0,19.0709306372,82.783,78.35584820789474,3.0,7.151515151515151,22.6,101.7025866,2.675,-952.0,16.307008265,91.965465545,1.95,-0.1218102715,35.5994875,98.888,22.099999999999998,8.666666666666668,6.3,82.60147476,10.3,1.273125,29.83716475,36.658688,14525.5,184515.5,0.12881484650000008,9.15,0.33793213999999994,18.535,57.19708333,11.399999999999999,94.629555,90.496589,218210.575505,53.75,7.387666666666667,0.09777340299999993,83.26,34.56170212765957
