Country Name,Country Code,Mobile cellular subscriptions (per 100 people)_2018,Mobile cellular subscriptions (per 100 people)_2019,Mobile cellular subscriptions (per 100 people)_2020,Mobile cellular subscriptions (per 100 people)_2021,Mobile cellular subscriptions (per 100 people)_2022,Access to electricity (% of population)_2018,Access to electricity (% of population)_2019,Access to electricity (% of population)_2020,Access to electricity (% of population)_2021,Access to electricity (% of population)_2022,Individuals using the Internet (% of population)_2018,Individuals using the Internet (% of population)_2019,Individuals using the Internet (% of population)_2020,Individuals using the Internet (% of population)_2021,Individuals using the Internet (% of population)_2022,Statistical performance indicators (SPI): Overall score (scale 0-100)_2018,Statistical performance indicators (SPI): Overall score (scale 0-100)_2019,Statistical performance indicators (SPI): Overall score (scale 0-100)_2020,Statistical performance indicators (SPI): Overall score (scale 0-100)_2021,Statistical performance indicators (SPI): Overall score (scale 0-100)_2022
Lithuania,LTU,130.8936876,130.0157981,130.2002612,133.7323188,139.1367809,100.0,100.0,100.0,100.0,100.0,79.7226,81.5819,83.0555,86.9305,87.7242,85.43875,84.93375,86.41625,88.27208333,88.12375
Luxembourg,LUX,131.3674819,131.9105832,132.9505076,137.0751156,156.82902385,100.0,100.0,100.0,100.0,100.0,97.0613,97.1206,98.4596,98.6609,98.242,78.86375,78.33125,83.905,88.41333333,87.84166667
"Macao SAR, China",MAC,335.0574739,420.8530977,412.9927856,185.6588995,174.5212668,100.0,100.0,100.0,100.0,100.0,83.7941,86.4679,87.4623,88.4681,89.7864,64.52562499999999,65.155833335,68.953541665,71.39708333,70.794583335
Madagascar,MDG,39.68745918,47.22673416,56.2228538,56.30041625,70.18472487,36.5,31.0,32.0,35.1,36.1,8.7,11.8314,15.8196,18.1313,20.5777,50.1875,51.98041667,54.00208333,54.38083333,53.7475
Malawi,MWI,38.52869707,47.17691214,51.6315658,60.03162334,60.12725997,18.0,11.2,11.5,14.2,14.0,8.0,14.6,22.2466,26.9325,27.6609,53.99791667,56.64041667,58.35458333,65.12583333,64.81416667
Malaysia,MYS,130.908501,135.9610804,131.6976181,140.5905675,141.2923164,100.0,100.0,100.0,100.0,100.0,81.201,84.1871,89.555,96.7514,97.3986,72.61416667,71.05041667,72.93708333,75.58958333,76.62125
Maldives,MDV,175.1750865,164.1286164,139.513022,135.3978652,136.5417622,100.0,100.0,100.0,100.0,100.0,70.9,77.4697,79.0978,85.2343,83.9119,50.735,52.8975,62.89708333,62.89875,61.81541667
Mali,MLI,110.1396447,111.4650138,119.2779414,111.0929919,114.4971206,50.9,47.9,50.6,53.4,53.0,21.4,22.3111,28.3043,30.4642,33.0528,54.58666667,51.92791667,53.72125,57.29291667,59.14125
Malta,MLT,125.2767573,125.9617103,122.8511054,123.3832876,131.5920538,100.0,100.0,100.0,100.0,100.0,81.658,85.7786,86.8588,87.4698,91.5406,73.78833333,74.61833333,78.1625,80.43708333,80.25208333
Marshall Islands,MHL,116.10138435,35.77177607,36.85447091,38.04994055,122.35623345,95.3,96.8,98.3,99.8,100.0,58.379000000000005,64.04965,71.2288,72.2377,73.2238,20.96041667,20.86041667,35.45958333,36.3,35.525
Mauritania,MRT,106.9260114,107.4581053,129.1269247,141.1137094,113.1204131,43.6,44.9,45.4,47.7,49.0,35.1,42.3207,41.0726,43.7936,44.3616,46.61875,48.06875,49.51791667,56.97416667,58.85916667
Mauritius,MUS,148.0645463,143.9967785,147.3924126,151.765127,161.3582163,99.8,100.0,99.5,99.6,100.0,58.5962,61.73,67.7329,71.6,75.5,77.30125,75.91375,75.08583333,74.48583333,77.30916667
Mexico,MEX,96.89668563,97.561569,97.53972081,99.81384101,100.2881985,99.5,99.6,99.4,100.0,100.0,56.6596,69.6321,71.4902,75.6265,78.6322,87.76833333,87.50708333,87.99708333,89.12083333,88.56416667
"Micronesia, Fed. Sts.",FSM,106.327395715,20.65039774,19.62428416,19.4464824,113.85222785,78.3,80.1,81.9,83.6,85.3,36.6,38.0,39.3833,39.9648,40.5434,24.45583333,23.81958333,36.31041667,36.15583333,35.2975
Moldova,MDA,115.7581058,116.2198572,110.876909,127.3941322,127.4162572,100.0,100.0,100.0,100.0,100.0,50.3,57.7605,58.2153,60.4747,63.5349,75.62125,79.3225,82.26125,83.33416667,82.76916667
Monaco,MCO,88.27945664,91.22158017,96.10801148,102.0171182,106.8167485,100.0,100.0,100.0,100.0,100.0,48.715,83.3397,98.5709,98.3776,98.3776,76.04166666500001,77.802916665,82.057916665,83.579583335,83.40708333500001
Mongolia,MNG,133.4403606,136.705791,132.467372,140.012223,142.2895592,98.1,98.9,99.5,100.0,100.0,47.13,51.08,62.5,81.6068,83.9145,76.46208333,76.28333333,81.85458333,83.825,84.045
Montenegro,MNE,179.6504897,182.5833286,171.7021595,178.3957863,203.1681662,100.0,100.0,99.9,99.8,100.0,71.5171,73.4767,77.6088,82.2197,88.2219,64.74041667,67.01916667,73.15208333,79.53416667,78.05416667
Morocco,MAR,124.1715549,127.9529984,133.893994,137.4592738,122.619874405,98.1,99.6,100.0,100.0,100.0,64.8039,84.1204,84.1204,88.1303,89.9,59.8575,59.01625,63.16625,73.29375,72.26041667
Mozambique,MOZ,47.83274319,48.7801676,49.59621356,42.66671846,42.07158261,31.1,29.7,30.6,31.5,33.2,10.9,14.6386,17.8299,19.9696,21.207,54.77458333,56.24041667,55.20833333,57.11708333,58.69041667
Myanmar,MMR,116.0975729,154.4969145,147.0303762,126.2686102,106.6964737,66.1,68.3,70.4,72.5,73.7,33.7204,48.1377,41.95429049,44.02167324,41.711,60.93666667,63.76291667,65.3975,70.10083333,71.9575
Namibia,NAM,114.6990872,115.4093117,116.4327399,115.2226488,113.1970166,52.3,53.3,52.3,55.2,56.2,42.8,49.8,57.8608,61.1132,62.215,52.18166667,52.21416667,53.63833333,58.26583333,55.77083333
Nauru,NRU,126.0674845,82.42664029,81.20178644,79.92327366,114.8197667,99.9,100.0,100.0,100.0,100.0,35.7,74.7379,81.6554,83.3424,82.6668,53.28375,53.135,55.474166665,61.633541665,32.60708333
Nepal,NPL,137.4358818,134.2096779,130.203706,127.2282803,116.4425168,93.9,89.9,89.9,89.9,91.3,28.6,34.8055,37.6984,41.6083,49.5609,54.38583333,54.05583333,57.31,65.00125,61.98458333
Netherlands,NLD,122.1100816,125.3335923,122.8307665,125.0621654,118.0652669,100.0,100.0,100.0,100.0,100.0,91.8919,93.2886,91.3333,92.053,92.5197,88.21958333,88.26583333,88.58708333,92.86541667,92.82541667
New Caledonia,NCL,126.3538529,91.10851024,90.78117198,90.34051425,116.3775678,100.0,100.0,100.0,100.0,100.0,90.44595,91.57615,93.28375,93.89255,94.1248,85.859791665,86.884791665,85.964166665,91.08166667,90.78416667
New Zealand,NZL,130.5976242,121.2131234,123.2134933,113.9631575,114.6898687,100.0,100.0,100.0,100.0,100.0,89.0,89.8637,95.2342,95.7321,95.7299,83.5,85.50375,83.34125,89.29791667,88.74291667
Nicaragua,NIC,113.2267851,86.86221512,88.25160841,97.10898703,110.35516696666669,85.2,85.7,86.0,86.3,86.5,37.6,44.9164,54.8543,54.7975,61.0524,49.52416667,51.65791667,52.33125,53.25791667,52.72791667
Niger,NER,100.14700629,51.69473548,58.5157033,56.38600069,106.02046523333333,17.6,18.5,18.7,18.6,19.5,32.65,16.6119,13.8406,15.3108,16.937,56.54583333,57.01583333,56.45791667,65.05791667,65.26958333
Nigeria,NGA,87.06722748,90.79595497,98.03255552,91.43723303,101.6857635,56.5,55.4,55.4,59.5,60.5,27.7,29.7,31.8888,32.3318,35.4563,49.73375,53.57541667,56.62416667,59.37458333,58.60958333
North Macedonia,MKD,93.16855383,90.86343805,88.20817101,92.29897353,97.83329942,99.8,100.0,100.0,100.0,100.0,79.1678,81.4129,81.4055,83.0182,84.2304,70.14875,72.03875,77.72208333,83.185,83.46166667
Northern Mariana Islands,MNP,100.429790715,99.428818675,98.246821005,100.993721115,104.25607676,100.0,100.0,100.0,100.0,100.0,87.82974999999999,89.70644999999999,88.00655,91.0091,91.6152,80.155625,81.06625,84.09520832999999,88.057083335,88.47874999999999
Norway,NOR,107.6910276,107.9941993,108.285471,109.6884687,110.6788541,100.0,100.0,100.0,100.0,100.0,96.4917,98.0,94.6076,99.0,99.0,90.1625,90.09375,90.46833333,92.92916667,93.49583333
Oman,OMN,139.9674164,138.2321115,140.0686492,135.0769728,96.212883385,100.0,100.0,100.0,100.0,100.0,85.5,90.2594,95.2323,95.7747,97.849,57.60125,58.53625,63.16791667,64.56791667,66.13125
Pakistan,PAK,70.07944774,74.07560451,77.3005648,81.55130785,81.74691267,93.4,93.9,94.5,94.9,95.0,15.34,17.0709,18.9348,24.9775,32.9486,61.04458333,60.67541667,63.41375,70.01,71.13333333
Palau,PLW,103.73145312,133.9584729,133.5410639,133.1557923,132.927167,100.0,100.0,100.0,100.0,100.0,38.57275,40.34965,45.772400000000005,49.01655,53.27855,59.47645833,60.13,51.96375,51.74625,48.32125
Panama,PAN,137.3834585,137.6404715,142.2454753,147.7006123,156.3065885,93.8,93.9,95.3,95.3,95.0,61.8055,63.6284,72.61,73.0556,73.6085,57.90833333,59.58458333,65.29541667,67.62833333,70.48666667
Papua New Guinea,PNG,46.09170728,47.52430342,49.41720925,48.42485057,142.0057786,16.6,23.6,20.5,20.9,19.0,63.3995,19.9783,24.3969,25.7426,26.991,40.925,40.84625,44.78208333,45.81708333,45.98208333
Paraguay,PRY,115.4634996,118.8639678,118.8308269,118.9635011,127.7049687,99.6,99.7,99.7,100.0,100.0,64.9935,68.5176,73.9575,77.0184,76.2592,58.97208333,61.05625,64.84375,74.37875,75.83375
Peru,PER,130.8994047,121.3854737,118.176464,127.8361756,122.0264016,95.2,95.6,96.2,95.6,96.2,55.0543,59.9505,65.2518,71.1078,74.675,69.10625,68.84625,69.07958333,72.96666667,73.27166667
Philippines,PHL,123.9757392,151.5865313,133.3257005,143.4358742,144.0428223,94.2,95.3,96.4,97.5,94.8,44.1,43.0266,53.7649,63.4019,75.2111,75.87958333,75.72333333,79.48208333,83.74958333,83.37791667
Poland,POL,125.3471416,125.7168536,128.4226449,132.058828,131.9444373,100.0,100.0,100.0,100.0,100.0,77.5417,80.4359,83.1849,85.3749,86.9411,88.55958333,89.07083333,89.24041667,91.0925,91.5725
Portugal,PRT,115.2549871,115.7418865,115.078977,120.9425503,124.5494123,100.0,100.0,100.0,100.0,100.0,74.661,75.3464,78.2617,82.309,84.4969,86.28916667,86.24916667,85.64625,88.73541667,89.31375
Puerto Rico,PRI,100.3319104,102.4016319,106.8204687,112.4430134,119.7930948,100.0,100.0,100.0,100.0,100.0,70.8564,77.7364,88.95725,84.7867,87.2918,69.325208335,74.63041666999999,73.20125,79.830833335,79.981666665
Qatar,QAT,142.6223429,139.5526559,137.6081235,144.2023856,174.1281471,100.0,100.0,100.0,100.0,100.0,99.6528,99.6528,99.6528,100.0,100.0,52.36125,63.01166667,60.75625,70.92625,70.64958333
Romania,ROU,115.4396415,116.1173683,116.1812357,118.6275646,118.1071502,99.8,100.0,100.0,100.0,100.0,70.6813,73.6575,78.4553,83.5904,85.5031,76.49916667,77.50791667,84.45791667,79.74125,84.32291667
Russian Federation,RUS,157.431312,164.3876311,163.5893357,168.9847242,98.98360042,100.0,99.8,99.9,100.0,100.0,80.8647,82.6422,84.9947,88.2138,90.418,75.71333333,78.19041667,80.195,83.50041667,84.07041667
Rwanda,RWA,77.40789677,75.25147588,80.74026868,80.99152957,79.86005064,38.0,46.6,45.2,48.7,50.6,19.2,21.358,23.8,29.432,34.4405,66.70625,67.29208333,70.23958333,71.35958333,70.57958333
Samoa,WSM,47.68694475,39.6404049,32.10362492,31.54083853,60.40057199,99.8,99.2,100.0,98.3,98.3,49.1,61.2106,69.9561,76.2853,75.2869,58.56708333,57.04708333,58.92916667,61.59041667,62.44875
San Marino,SMR,112.7181169,113.3770262,114.6822713,118.5325668,121.8062983,100.0,100.0,100.0,100.0,100.0,43.55,67.8507,77.95,81.67,85.0607,54.139375,48.45895833,55.671458335,58.101458335,58.638958335
Sao Tome and Principe,STP,76.9409115,77.24220523,79.67535824,84.81983981,86.77896033,71.0,75.1,76.8,78.5,78.0,38.0,44.3,51.5547,56.1138,56.9899,49.71166667,39.87083333,52.41375,54.6125,54.82916667
Saudi Arabia,SAU,117.9691219,115.2711969,120.052537,126.3611144,132.3800002,99.9,100.0,100.0,100.0,100.0,93.31,95.7247,97.8623,100.0,100.0,59.12166667,63.38541667,70.99708333,78.6325,80.76583333
Senegal,SEN,106.3244864,111.7482578,116.079391,117.676782,120.4336409,66.0,70.4,64.3,68.0,67.9,35.3,43.4,53.3088,54.9741,59.9832,61.50375,63.57375,68.28583333,72.45958333,72.20625
Serbia,SRB,121.0748239,122.0477413,120.2168595,123.7205974,155.97103545,100.0,99.8,100.0,100.0,100.0,73.3607,77.4168,78.368,81.1659,83.5383,75.28541667,75.79291667,81.19208333,81.8175,80.83583333
Seychelles,SYC,173.563787,185.5593454,173.8823083,172.6683573,191.50843,100.0,100.0,100.0,100.0,100.0,69.2,76.6,84.8223,80.7475,86.6654,48.30041667,48.63416667,59.51166667,64.28583333,65.98416667
Sierra Leone,SLE,80.84116316,83.63300421,83.60731215,97.70150515,173.99374154999998,26.1,22.7,26.3,27.5,29.4,15.8,20.8,27.4681,27.595,30.3518,53.91833333,53.48333333,54.015,58.50625,59.19958333
Singapore,SGP,147.3617155,154.0006188,142.8931601,147.480416,156.4790531,100.0,100.0,100.0,100.0,100.0,88.1656,88.9493,92.0043,96.9247,95.9539,74.26166667,75.09916667,81.20375,85.73458333,86.55791667
Sint Maarten (Dutch part),SXM,140.158182,144.83709995,138.2427424,141.31395855,144.20225365,100.0,100.0,100.0,100.0,100.0,84.30725,85.9015,90.9626,92.92515,92.5108,79.988958335,80.34708333500001,83.567083335,87.71229166500001,87.84895833499999
Slovak Republic,SVK,132.9546485,135.6735811,133.5923247,135.1475011,131.9254542,100.0,100.0,100.0,100.0,100.0,80.4489,82.8537,89.9209,88.9256,89.0677,85.71625,85.595,85.93041667,89.69,89.14
Slovenia,SVN,117.0914525,118.8876247,120.4592752,123.0185759,126.1838135,100.0,100.0,100.0,100.0,100.0,79.75,83.1084,86.6013,89.004,88.9125,89.01,88.93125,89.11708333,92.23666667,92.53333333
Solomon Islands,SLB,73.11789627,70.83273456,68.57738104,66.96324509,88.22046044,65.8,69.4,72.9,76.3,76.0,20.9,28.7,39.5527,47.3313,44.9575,42.77333333,41.66458333,41.31166667,48.01416667,48.1975
Somalia,SOM,49.6592909,51.47891598,53.48002324,51.82360917,50.25710738,50.7,49.2,49.9,49.3,48.9,41.65,49.19845,15.0237,19.8606,27.6,19.67916667,19.61791667,30.33083333,45.60833333,48.38333333
South Africa,ZAF,161.1938374,166.9433215,163.1909795,168.9243909,167.3958702,84.7,85.0,90.0,89.3,86.5,62.4,69.6969,72.1128,74.1534,74.703,75.41625,73.475,77.33416667,80.87958333,82.38125
South Sudan,SSD,18.43380633,21.26759221,12.6718012,30.48067634,30.02012982,6.3,6.8,7.3,7.7,8.4,4.8,6.7,9.27123,9.64241,12.1407,24.69583333,30.48916667,29.51458333,36.19208333,33.83041667
Spain,ESP,115.7483421,117.4481914,117.4899328,119.623109,124.0994495,100.0,100.0,100.0,100.0,100.0,86.1072,90.7187,93.2056,93.8975,94.4855,87.84541667,88.85416667,86.77041667,90.70083333,91.4075
Sri Lanka,LKA,140.3243174,130.9608639,136.9116134,141.2920218,143.0794174,99.6,99.8,100.0,100.0,100.0,28.3,32.0,36.1847,44.4531,50.1067,73.75916667,74.04791667,75.51916667,79.27541667,79.05041667
St. Kitts and Nevis,KNA,149.9005465,136.7035547,131.2392427,119.1089358,132.425005375,100.0,100.0,100.0,100.0,100.0,68.6,69.4,70.2753,69.1294,76.4575,62.362291670000005,62.46604167,34.775,49.23416667,50.0025
St. Lucia,LCA,103.9665407,82.75703734,81.41789921,95.63211097,121.77059335,100.0,100.0,100.0,100.0,100.0,69.4,72.5,75.8162,75.122,74.1859,50.96541667,50.88416667,60.24708333,66.23166667,66.00333333
St. Martin (French part),MAF,105.38515105,87.30366448999999,88.66846486,94.892216205,111.116181325,100.0,100.0,100.0,100.0,100.0,62.7,73.23415,76.62155,76.92240000000001,75.96385000000001,47.851458335,47.407708335,56.541666665,60.383958335,60.64645833
St. Vincent and the Grenadines,VCT,106.8037614,91.85029164,95.91903051,94.15232144,100.4617693,100.0,100.0,100.0,100.0,100.0,56.0,73.9683,77.4269,78.7228,77.7418,44.7375,43.93125,52.83625,54.53625,55.28958333
Sudan,SDN,71.66925335,76.36493565,79.19626937,75.55500225,73.96660858,55.3,57.6,59.7,61.8,63.2,24.6,25.9,26.4383,27.6336,28.7045,44.085,39.16125,41.50583333,43.57875,43.57875
Suriname,SUR,126.7057876,135.5726544,148.145421,147.8293071,150.2880072,97.4,97.9,98.4,98.8,99.0,55.1,62.0,69.8369,71.992,75.7614,52.71,50.80291667,57.19333333,61.61583333,61.5175
Sweden,SWE,124.246327,125.5936109,123.3665446,124.3473047,125.0711442,100.0,100.0,100.0,100.0,100.0,89.247,94.4934,94.5394,94.6703,95.0097,88.72166667,88.52416667,89.58875,92.60958333,92.22791667
Switzerland,CHE,126.7095617,126.9492891,127.4054064,123.4337574,119.5610489,100.0,100.0,100.0,100.0,100.0,91.8,93.1461,94.3499,95.5694,96.8046,88.25583333,87.015,87.92333333,89.55333333,88.79666667
Syrian Arab Republic,SYR,88.60117817,88.23642913,80.20304156,79.67746006,110.34064867333332,86.0,89.2,89.0,88.8,89.0,33.77,34.65,35.78,61.9547,66.4459,25.98875,26.45375,25.44083333,31.40708333,31.92041667
Tajikistan,TJK,109.5514394,117.7572718,121.3847714,118.8094765,101.12024844666666,99.3,99.4,99.5,99.6,100.0,25.435,26.46365,27.5441,28.34,36.0872,55.51666667,55.76041667,56.87541667,55.37208333,53.42708333
Tanzania,TZA,74.87851487,79.64452642,83.00888599,84.99103625,91.89984822,34.9,37.7,39.9,42.7,45.8,17.1,18.2773,25.6424,29.7016,31.8913,58.02125,58.07125,62.36416667,63.45916667,67.33416667
Thailand,THA,175.8777812,181.7670258,162.7043297,168.7823161,176.3169269,99.8,99.9,100.0,100.0,99.9,56.8175,66.6524,77.8437,85.2696,87.9772,76.35333333,76.11083333,79.2675,80.17416667,82.51416667
Timor-Leste,TLS,116.3766548,111.3100361,105.9938692,104.9381426,110.4161199,85.2,90.6,96.0,100.0,99.7,27.6,28.0046,32.0127,35.5407,40.7521,51.27833333,51.04208333,50.93458333,55.99708333,59.86041667
Togo,TGO,76.36078188,75.68981987,77.18623928,72.35295227,74.18189659,50.0,52.5,54.1,55.7,57.2,15.5,20.7273,29.0237,32.5051,37.6212,60.59916667,60.88041667,62.40875,67.43666667,66.68166667
Tonga,TON,102.6514503,59.17428133,58.90512475,60.67706123,102.374147195,99.0,98.4,99.9,100.0,100.0,53.4,61.78962999,66.64843101,57.5486,58.80275,54.55854167,51.465208335,56.13083333,61.67375,59.89375
Trinidad and Tobago,TTO,131.0947831,142.3545434,130.9488475,130.8832291,130.5663978,100.0,100.0,100.0,100.0,100.0,72.8,75.0,77.2813,79.0,79.9843,48.51791667,42.05,45.70291667,56.61083333,55.44583333
Tunisia,TUN,123.7705691,122.5882901,122.1279008,127.5767095,129.2577838,99.8,100.0,99.9,99.9,100.0,64.1908,66.7,68.5564,68.3155,73.8379,63.885,64.0675,65.93625,73.89666667,75.12666667
Turkiye,TUR,96.74999684,96.77676962,97.61417509,101.785223,105.807654,100.0,100.0,100.0,100.0,100.0,71.0428,73.9767,77.6696,81.4084,83.4372,85.82333333,84.63791667,85.3125,87.5825,87.71416667
Turkmenistan,TKM,96.31801204,97.45608452,98.62952004,98.62541796,96.85231375,100.0,99.9,100.0,100.0,100.0,54.7821,56.986978773,76.9272,81.69496666666667,82.68856666666667,20.98708333,23.47083333,27.17125,28.675,31.355
Turks and Caicos Islands,TCA,87.27543492000001,89.80142670500001,89.96883898,89.47693604,87.8969735,100.0,100.0,99.4,100.0,99.9,38.5214,39.997257546,76.18480000000001,81.98153333333333,81.93993333333333,36.66194444333333,38.17083333,40.40375,42.72444444333333,34.747083335
Tuvalu,TUV,78.2328578,82.14676889,81.30815792,80.32845412,78.94163325,99.0,99.7,99.4,99.7,100.0,22.2607,23.007536319000003,75.4424,82.2681,81.1913,52.33680555666666,52.87083333,53.63625,56.77388888666667,38.13916667
Uganda,UGA,58.94688705,59.12932943,62.35610757,65.70386414,69.986293,41.9,41.3,42.1,45.2,47.1,6.0,6.017815092,7.4,10.0,87.46086666666666,68.01166667,67.57083333,66.86875,70.82333333,70.74166667
Ukraine,UKR,127.753861,130.6294363,129.3411657,135.025689,141.10355514999998,100.0,100.0,100.0,100.0,100.0,62.5532,70.1248,75.0379,79.2183,93.73043333333334,69.56791667,72.48416667,76.84583333,80.38916667,78.86916667
United Arab Emirates,ARE,219.700673,212.804439,197.8438703,194.7336208,212.2208173,100.0,100.0,100.0,100.0,100.0,98.45,99.15,100.0,100.0,100.0,59.25666667,59.66916667,66.50083333,79.29333333,79.545
United Kingdom,GBR,118.7527408,120.8484884,117.8163133,118.5668355,120.8191165,100.0,100.0,100.0,100.0,100.0,90.692,92.5166,94.8182,95.2591,95.3412,83.51958333,83.36833333,83.55,87.19833333,87.145
United States,USA,104.847944,106.4140195,104.9353748,107.319451,110.1664718,100.0,100.0,100.0,100.0,100.0,88.4989,89.4303,96.5768,96.7792,97.1299,88.91625,88.92375,89.565,92.75,92.79
Uruguay,URY,130.1172556,132.0241348,132.7256301,136.9212202,138.526391,99.8,99.9,100.0,100.0,100.0,80.7268,83.3515,85.471,87.6444,89.873,68.4675,66.82541667,70.64583333,79.27333333,77.74833333
Uzbekistan,UZB,71.57614633,101.2222235,99.58344787,102.8976203,103.0681174,100.0,100.0,100.0,99.9,100.0,55.2,70.4,71.1,76.5904,83.9,51.21291667,54.91,65.46333333,70.38833333,70.57166667
Vanuatu,VUT,84.57103647,87.1273045,79.00027271,78.2951469,78.19948583,61.6,64.5,67.3,70.0,70.0,39.5,50.7305,64.286,68.612,69.8888,39.50916667,40.69166667,41.95791667,50.63833333,51.22
"Venezuela, RB",VEN,69.50784615,63.77343008,58.06789032,60.31557029,63.41889546,99.9,99.8,99.9,100.0,100.0,54.67395,59.69605,67.293,71.411,74.2394,45.03833333,43.865,47.61625,49.57,52.25
Viet Nam,VNM,148.1748225,142.2374996,143.7522156,138.8654955,139.9496874,100.0,99.4,99.8,100.0,100.0,69.8479,68.6616,70.3,74.21,78.59,66.625,65.95875,68.49708333,72.10333333,72.16666667
Virgin Islands (U.S.),VIR,119.075288025,79.34461349,79.64795603,79.92726619,129.33312493333332,100.0,100.0,100.0,100.0,100.0,67.12395000000001,69.6421,73.155,78.02,83.61845,68.41312500000001,68.194166665,72.677916665,77.90125,77.767083335
West Bank and Gaza,PSE,89.97575355,86.32538513,79.63152961,77.60221248,118.71656246666666,100.0,100.0,100.0,100.0,100.0,64.4,70.6226,76.01,81.83,88.6469,70.20125,70.42958333,76.85875,83.69916667,83.3675
World,WLD,103.1,105.9,105.5,107.4,108.1,89.89088584,90.19910003,90.4854036,91.42033224,91.35257097,48.6,53.2,59.3,62.2,64.4,54.550625,53.600416665,56.221041665,58.260625,58.302291665
"Yemen, Rep.",YEM,49.68344957,48.30300585,47.01393376,46.0195416,103.60120912,62.0,72.8,73.9,74.9,76.0,31.450000000000003,35.95,13.8152,14.8881,17.6948,38.9,36.77125,35.58333333,32.82208333,33.23708333
Zambia,ZMB,86.73672801,93.68966322,100.932458,103.9746368,99.10241824,40.2,43.0,44.6,46.7,47.8,14.3,18.7,24.4992,26.9505,31.2342,59.50916667,59.01416667,60.995,62.96791667,62.10625
Zimbabwe,ZWE,85.76158782,85.94098918,84.1862743,89.14601935,87.62450647,45.4,46.7,52.7,49.0,50.1,25.0,26.5883,29.2986,32.4616,32.5615,59.51,61.6525,64.97416667,71.13416667,70.2125
