Country Name,Country Code,Access to electricity (% of population),Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),Adequacy of social protection and labor programs (% of total welfare of beneficiary households),"Air transport, passengers carried",Compensation of employees (current LCU),"Contraceptive prevalence, any method (% of married women ages 15-49)",Control of Corruption: Estimate,"Current education expenditure, total (% of total expenditure in public institutions)",Current health expenditure (% of GDP),Forest area (% of land area),Gini index,Government Effectiveness: Estimate,"Hospital beds (per 1,000 people)","Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, measles (% of children ages 12-23 months)",Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Intentional homicides (per 100,000 people)","Internally displaced persons, total displaced by conflict and violence (number of people)",Lending interest rate (%),"Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",Losses due to theft and vandalism (% of annual sales for affected firms),Mobile cellular subscriptions (per 100 people),Multidimensional poverty headcount ratio (World Bank) (% of population),Net migration,Out-of-pocket expenditure (% of current health expenditure),"Persistence to last grade of primary, total (% of cohort)","Physicians (per 1,000 people)",Political Stability and Absence of Violence/Terrorism: Estimate,Pregnant women receiving prenatal care (%),Prevalence of moderate or severe food insecurity in the population (%),Prevalence of severe food insecurity in the population (%),Prevalence of undernourishment (% of population),"Primary completion rate, total (% of relevant age group)",Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),Proportion of seats held by women in national parliaments (%),Rail lines (total route-km),Refugee population by country or territory of asylum,Regulatory Quality: Estimate,Risk of impoverishing expenditure for surgical care (% of people at risk),Rule of Law: Estimate,"Share of youth not in education, employment or training, total (% of youth population)",Statistical performance indicators (SPI): Overall score (scale 0-100),"Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)","Unemployment, total (% of total labor force) (national estimate)",Voice and Accountability: Estimate,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)"
Colombia,COL,100.0,59.72,39.67221209846154,26167360.0,38631100000000.0,41.60677966101695,-0.365435123,96.85535663347827,9.01772404,53.12539585,55.1,-0.046658192,1.7066666666666666,86.0,86.0,86.0,73.0284,3.495057574,27.48436513,5235000.0,9.337848409,72.83,83.9493751525,0.8263157894736843,145.6931676,7.7,211978.0,13.66964531,91.33135223,2.362,-0.954557538,,59.16666666666667,19.633333333333333,6.6,99.19447327,0.6622448979591836,18.82352941,74391.66666666666,1504.0,0.202144697,17.8,-0.469918787,27.264,86.4175,82.22291,69.560862,13.898,0.094382107,,26.911764705882355
Comoros,COM,87.9,55.526666666666664,39.76111760784615,13279731.107,22042570000000.0,42.1406779661017,-1.30969882,96.9132955826087,6.33513117,17.45298227,53.5,-1.813807726,1.575,91.0,91.0,90.0,27.33694319,2.901919301,23.46545131,5287000.0,7.875,63.417,82.836250305,0.8368421052631579,103.8731734,6.1,-1772.0,55.56960678,86.23208617799999,2.464,-0.228033617,,79.7,27.4,13.5,90.92101669499999,0.6918367346938775,16.66666667,39016.33333333333,27.0,-1.271066189,45.2,-1.256778717,21.168,69.420416665,66.811497,55.922568,4.394,-0.741578817,,27.82941176470588
"Congo, Dem. Rep.",COD,20.8,51.333333333333336,39.85002311723077,392102.214,5454040000000.0,42.674576271186446,-1.569068789,96.97123453173913,3.7859261,55.16149326,51.900000000000006,-1.755551696,1.4433333333333334,65.0,65.0,55.0,26.17,2.3087810280000003,19.44653749,5339000.0,23.28572419,59.193,81.7231254575,0.8473684210526315,48.89330021,4.5,-64643.0,39.12869644,81.132820126,2.566,-1.657812476,,76.6,40.7,35.3,82.64756012,0.7214285714285713,12.8,3641.0,524148.0,-1.440397143,34.233333333333334,-1.72392869,20.442333333333334,52.42333333,59.519162,50.051559,7.975666666666667,-1.185847282,,28.74705882352941
"Congo, Rep.",COG,49.7,47.14,39.938928626615386,157784.0,343514000000.0,43.208474576271186,-1.39148438,97.02917348086957,3.87537813,64.21961933,50.300000000000004,-1.320017934,1.3116666666666665,77.0,77.0,68.0,32.7417,1.715642755,15.427623670000001,134000.0,14.398968255,63.519,80.61000061,0.8578947368421053,96.78757313,2.8999999999999995,-4466.0,24.07517624,76.033554074,2.668,-0.229479313,,88.2,58.8,33.3,90.863895415,0.7510204081632652,11.25827815,2640.3333333333335,40765.0,-1.233001828,23.266666666666666,-1.098482132,19.716666666666665,37.45541667,61.996892,55.46341,11.557333333333332,-1.236743093,,29.66470588235294
Costa Rica,CRI,100.0,68.49,40.027834136,669298.0,3234030000000.0,43.742372881355934,0.470483005,97.08711243,7.56881428,59.75793184,48.7,0.224117517,1.18,93.0,87.0,89.0,82.749,1.726477551,11.40870985,218000.0,5.51221232,77.023,98.04000092,0.868421052631579,152.0081561,1.3,2084.0,20.74214363,70.934288022,2.77,0.860289991,,16.2,2.9,3.0,99.08023071,0.7806122448979591,45.61403509,1639.6666666666667,10224.0,0.438738018,12.3,0.424208134,18.991,90.00416667,88.823757,80.131838,15.139,1.08112514,,30.58235294117647
Cote d'Ivoire,CIV,71.1,50.76,40.11673964538462,569309.0,1694300000000.0,44.27627118644068,-0.395680398,95.20146179,3.13269377,8.565492767,35.3,-0.537407279,2.1933333333333334,76.0,76.0,68.0,38.7504,4.091951897,6.110745303,302000.0,5.127197822166666,58.598,98.744998935,0.8789473684210527,162.1701041,29.2,-21000.0,32.34332657,65.83502197,3.291,-0.715018511,,44.2,9.7,7.7,73.70536804,0.810204081632653,14.17322835,639.0,4349.0,-0.268797159,100.0,-0.661812484,15.840499999999999,64.01916667,51.003362,47.493504,11.3735,-0.475123227,,31.5
Croatia,HRV,100.0,91.8,40.20564515476923,767762.0,3566976000.0,44.81016949152543,0.037961569,95.347489927,8.1,34.69639028,28.9,0.553089023,3.206666666666667,92.0,90.0,89.0,81.254,2.554506996,0.812780756,287000.0,4.742183324333333,76.42439024,99.44999695,0.8894736842105264,108.4252864,0.5,-10402.0,9.4,80.10046005000001,3.8120000000000003,0.62148279,,9.7,1.9,2.5,94.20815277,0.8397959183673469,31.12582781,2617.0,1020.0,0.493546575,0.2,0.275992751,12.69,83.34458333,91.856808,80.307193,7.608,0.601966202,,32.80869565217391
Cuba,CUB,100.0,92.24333333333333,40.294550664153846,22359.0,3298223154.3333335,45.344067796610176,-0.033255912,95.493518064,13.78727818,31.23314066,29.7,-0.248740554,4.22,99.0,99.0,99.0,67.6435,2.518367554666667,0.9705136003333333,272000.0,4.3571688265,73.683,99.67311096,0.9000000000000001,63.10466641,0.6333333333333333,-7068.0,8.39371872,94.36589813,4.333,0.392701924,,9.399999999999999,2.0,2.5,96.634758,0.8693877551020407,53.41296928,4302.0,199.0,-1.454427838,0.16666666666666669,-0.418762296,13.051333333333332,84.14097222000001,82.441064,72.85917,7.576333333333333,-1.422821403,,34.11739130434783
Curacao,CUW,100.0,92.68666666666667,40.38345617353846,62687.5,3029470308.6666665,45.877966101694916,0.1681894475,95.639546201,11.60863909,0.157657658,30.5,0.22528687099999994,3.7924999999999995,97.5,96.5,92.5,79.20150000000001,2.4822281133333335,1.1282464446666667,257000.0,3.972154328666667,77.44300000000001,99.51655578500001,0.9105263157894737,88.26771323,0.7666666666666666,502.0,9.15685936,95.67894554,4.854,0.40737806249999997,,9.1,2.0999999999999996,2.5,98.307197575,0.8989795918367346,33.849341785,5987.0,8238.0,-0.30451765650000007,0.13333333333333336,0.09364421699999997,13.412666666666667,84.93736111,88.700428,75.692612,7.544666666666666,-0.28315263999999996,,35.426086956521736
Cyprus,CYP,100.0,93.13,40.47236168292308,103016.0,2760717463.0,46.411864406779664,0.369634807,95.785574338,9.43,18.66991342,31.3,0.699314296,3.3649999999999998,96.0,94.0,86.0,90.7595,2.446088672,1.285979289,242000.0,3.5871398308333333,81.203,99.36000061,0.9210526315789475,148.7380631,0.9,1995.0,9.92,96.99199295,5.375,0.422054201,,8.8,2.1999999999999997,2.5,99.97963715,0.9285714285714285,14.28571429,7672.0,16277.0,0.845392525,0.1,0.60605073,13.774,85.73375,92.733778,88.341626,7.513,0.856516123,,36.73478260869565
Czechia,CZE,100.0,94.94,40.561267192307696,1418032.0,284209000000.0,46.94576271186441,0.615592837,95.931602475,9.4887867,34.70669802,26.2,1.070697069,2.9375,94.0,94.0,97.0,82.6706,3.839844915,0.447161218,499461.5384615385,3.202125333,77.22195122,98.54726537,0.9315789473684211,126.4124254,0.1,3621.0,12.72645092,98.30504036,5.469,0.947398126,,8.5,2.3,2.5,98.35590363,0.9581632653061224,25.0,9357.0,1909.0,1.340872288,0.05,1.090659142,6.61,91.17791667,90.52963,80.634618,2.803,1.008880258,,38.04347826086956
Denmark,DNK,100.0,100.0,40.65017270169231,1080885.75,101119000000.0,47.47966101694915,2.333752632,96.077630612,10.82,15.7345,28.3,1.961796761,2.51,97.0,76.5,95.0,98.8659,1.85304544,0.80283685,756923.076923077,4.234055638666667,81.40487805,97.73453013,0.9421052631578948,125.7822877,0.7,22746.0,12.6,99.61808777,5.103857142857143,0.928524494,,6.8,1.8,2.5,99.67603302,0.9877551020408162,39.66480447,9127.733333333334,36023.0,1.795592904,0.0,1.89605689,7.112,91.58125,92.433691,88.287068,5.043,1.545294881,,39.35217391304348
Djibouti,DJI,65.4,83.76666666666667,40.73907821107692,743739.5,181201333333.3333,48.0135593220339,-0.804719806,96.223658749,2.87667227,0.253377912,31.7,-0.831710994,2.745,59.0,59.0,50.0,64.0414,1.181917753,7.30630363,1014384.6153846154,5.265985944333334,62.305,96.92179489,0.9526315789473685,44.26176127,1.0666666666666667,742.0,20.3030262,86.40299225,4.738714285714286,-0.56633985,,49.2,16.5,16.8,53.38579178,1.01734693877551,26.15384615,8898.466666666667,23232.0,-0.885837376,1.7333333333333334,-1.02881515,13.852333333333332,46.70208333,65.199651,54.268641,5.929333333333333,-1.295277119,,40.66086956521739
Dominica,DMA,100.0,67.53333333333333,40.82798372046154,406593.25,261283666666.66666,48.547457627118646,0.547496855,96.369686886,6.50494003,63.82666667,35.1,-0.120851927,2.98,92.0,92.0,88.0,82.3506,1.48319445,13.80977041,1271846.153846154,6.29791625,72.814,96.10905965,0.9631578947368422,85.85731647,1.4333333333333333,57.0,23.7681694,89.68267059,4.373571428571429,1.333959103,,50.650000000000006,19.25,6.7,85.65966034,1.046938775510204,34.375,8669.2,11697.0,0.28997007,3.466666666666667,0.691172361,20.592666666666666,46.21708333,83.395018,72.149896,6.815666666666667,0.813615263,,41.969565217391306
Dominican Republic,DOM,98.1,51.3,40.916889229846156,69447.0,341366000000.0,49.081355932203394,-0.590034485,96.515715023,4.91815567,45.27971219,38.5,-0.001953626,2.14,84.0,83.0,88.0,85.243,8.24300348,10.54158423,1529307.6923076923,9.608308333,72.615,95.29632441,0.9736842105263159,87.56486177,1.8,-14966.0,23.59280205,94.59294890999999,4.0084285714285715,0.287300646,,52.1,22.0,6.3,87.72651672,1.0765306122448979,27.89473684,8439.933333333332,162.0,0.077950858,5.2,-0.11531885,27.333,69.68958333,81.761093,69.27367,7.702,0.295457333,,43.278260869565216
Ecuador,ECU,100.0,64.18,41.00579473923077,1534854.0,9085544852.0,49.61525423728814,-0.594089091,96.66174316,8.28661728,50.06265099,45.8,-0.240734726,1.3,72.0,68.0,65.0,70.2073,0.133251386,14.02425488,1786769.2307692308,9.5166541665,73.67,94.48358917,0.9842105263157895,94.33558884,4.3,35894.0,30.61556816,99.50322723,3.6432857142857142,-0.257427931,,37.3,13.0,13.9,95.69024658,1.1061224489795918,39.41605839,8210.666666666666,56603.0,-0.719614744,23.7,-0.353610903,18.819,79.24333333,82.990239,70.716905,4.552,0.100769483,,44.58695652173913
"Egypt, Arab Rep.",EGY,100.0,27.44,41.09470024861538,5563387.0,6027322426.0,50.14915254237289,-0.705531955,87.45880127000001,4.60955143,0.045185594,42.4,-0.457345426,1.23,96.0,96.0,96.0,72.056,5.214049405,16.094876669999998,2044230.7692307692,9.425,70.221,95.560871886,0.9947368421052633,94.68027811,5.3,-32370.0,54.90198135,99.532771298,3.278142857142857,-1.032840967,,28.5,8.8,7.2,97.47286987,1.1357142857142857,27.7027027,7981.4,280686.0,-0.519896507,23.7,-0.259292424,28.743,79.97708333,78.707268,66.438008,7.441,-1.507089853,,45.89565217391304
El Salvador,SLV,97.9,35.85,41.183605758,1412026.0,2969100000.0,50.68305084745763,-0.553035498,78.25585938,9.71643353,27.96235521,39.0,-0.34091416,1.16,78.0,78.0,85.0,58.5986,3.466925853,18.16549846,2301692.307692308,8.99,70.748,96.638154602,1.0052631578947369,175.3370318,6.3,-27343.0,26.73874474,99.56231536599999,2.913,-0.09154629,,48.4,16.2,7.7,97.661209105,1.1653061224489796,27.38095238,7752.133333333333,98.0,-0.363843024,13.5,-0.865895867,26.152,73.7575,80.030848,60.956122,4.327,-0.059792999,,47.20434782608696
Equatorial Guinea,GNQ,66.8,57.02666666666667,41.272511267384616,31268.0,194784000000.0,51.21694915254238,-1.586888433,79.12350827666667,3.40450907,86.98966132,36.6,-1.184709072,1.1591666666666667,53.0,53.0,53.0,60.5587,-0.097100766,12.762598442333331,2559153.846153846,8.555,60.594,97.715437318,1.0157894736842106,49.96671696,4.333333333333333,6486.0,77.47199249,99.591859434,3.1046923076923076,-0.20278056,,35.1,11.033333333333331,5.966666666666667,97.84954834,1.1948979591836735,23.0,7522.866666666667,109.5,-1.732519746,16.62,-1.201039076,21.075,38.96583333,60.41341,51.500356,4.944,-1.713658452,,48.51304347826087
Eritrea,ERI,52.5,78.20333333333333,41.36141677676923,25291.333333333332,98302998044.0,51.75084745762712,-1.257141948,79.99115717333333,4.15077114,8.692108346,34.2,-1.69551146,1.1583333333333332,95.0,95.0,93.0,25.0991,2.278032986,7.359698424666666,2816615.3846153845,8.120000000000001,66.536,98.792720034,1.0263157894736843,49.74709362,2.3666666666666667,-14988.0,49.50627518,99.62140350199999,3.296384615384615,-1.055657029,,21.8,5.866666666666665,4.233333333333333,98.037887575,1.2244897959183674,24.37128713,7293.6,121.0,-2.279725552,19.740000000000002,-1.581945896,15.998,63.500833330000006,71.238941,62.679972,5.561,-1.930160284,,49.82173913043478
Estonia,EST,100.0,99.38,41.45032228615385,19314.666666666664,1821996088.0,52.284745762711864,1.506842971,80.85880607,7.49057293,57.03859649,31.8,1.345018029,1.1575,90.0,84.0,89.0,90.9797,4.653166738,1.956798407,3074076.923076923,7.6850000000000005,76.94390244,99.87000275,1.036842105263158,149.0807939,0.4,2995.0,22.25318909,99.65094757,3.488076923076923,0.748466134,,8.5,0.7,2.5,98.22622681,1.2540816326530613,25.74257426,7064.333333333333,321.0,1.547994375,22.86,1.389533639,10.921,88.03583333,90.453032,75.720874,6.178,1.180002928,,51.130434782608695
Eswatini,SWZ,82.9,99.41,41.539227795538466,13338.0,8228638153.0,52.81864406779661,-0.702006817,81.72645496666667,7.03582335,28.99825581,30.98,-0.749074459,1.1566666666666665,77.0,77.0,80.0,56.1988,15.746344449000002,12.66490588,3331538.4615384615,7.25,57.066,96.99947638578948,1.0473684210526315,120.0524881,0.6200000000000001,-4897.0,10.42652035,99.504014586,3.6797692307692307,-0.34604305,,67.0,18.3,11.6,81.55211258,1.2836734693877552,9.589041096,6835.066666666667,895.0,-0.602753639,25.98,-0.575594962,34.39,54.79208333,52.538865,31.9633,34.153,-1.297844529,,52.43913043478261
Ethiopia,ETH,54.2,99.44,41.628133304923075,7065954.0,47194751365.0,53.35254237288136,-0.422970861,82.59410386333334,3.20824432,15.05930598,30.16,-0.648736,1.1558333333333333,65.0,65.0,54.0,16.6981,26.83952216,10.359410702999998,3589000.0,6.814140433333334,64.975,94.12895002157894,1.0578947368421052,53.62352623,0.8400000000000001,-1391.0,36.99786377,99.357081602,3.8714615384615385,-2.183713198,,58.1,21.1,21.9,64.87799835,1.313265306122449,42.58823529,6605.799999999999,821283.0,-0.941965938,29.1,-0.624359071,17.529,59.00041667,71.199375,58.55365,3.935,-1.072550178,,53.74782608695652
Faroe Islands,FRO,100.0,99.47,41.71703881430769,3599831.0,24045297718.8,53.88644067796611,0.010119736500000032,83.46175276000001,4.294548985,0.058394161,29.34,0.002799213000000078,1.1549999999999998,82.0,82.0,76.5,49.29905000000001,13.497688941,8.053915525999999,3178500.0,6.378280866666667,83.09756098,91.25842365736843,1.068421052631579,111.9592346,1.06,0.0,27.424261095,99.210148618,4.063153846153846,-0.7298021914999999,,41.15,13.700000000000001,14.25,88.639499675,1.3428571428571427,32.078431370000004,6376.533333333333,410650.5,-0.47363016449999995,19.4,-0.16301158049999998,14.516666666666667,61.03375,90.751778,87.310238,5.162333333333334,-0.6193991679999999,,55.05652173913043
Fiji,FJI,92.1,99.5,41.80594432369231,133708.0,895844072.6,54.420338983050854,0.443210334,84.32940165666668,5.38085365,62.76409414,28.52,0.654334426,1.1541666666666666,99.0,99.0,99.0,81.9,0.155855722,5.748420348999999,2768000.0,5.9424213,67.114,88.38789729315789,1.0789473684210527,107.2344015,1.2800000000000002,-6003.0,17.85065842,99.063215634,4.254846153846154,0.724108815,97.7,24.2,6.3,6.6,112.401001,1.3724489795918366,21.56862745,6147.266666666666,18.0,-0.005294391,9.7,0.29833591,11.504333333333335,63.06708333,68.884564,60.711497,6.389666666666667,-0.166248158,61.6,56.36521739130435
Finland,FIN,100.0,99.53,41.894849833076925,2805555.0,7100503838.0,54.9542372881356,2.238217115,85.19705055333334,10.25,73.72649966,27.7,1.920685291,1.1533333333333333,89.0,97.0,93.0,92.8081,2.194574323,3.442925171999999,2357500.0,8.65393704,81.88536585,85.51737092894737,1.0894736842105264,129.1548109,1.5,14928.0,16.1,98.91628265,4.446538461538461,0.963134944,97.15217391304348,10.5,2.6,2.5,99.2806778,1.4020408163265305,46.0,5918.0,24078.0,1.887125611,0.0,2.013481617,8.492,93.47416667,93.656656,87.304392,7.617,1.609824777,61.77391304347826,57.673913043478265
France,FRA,100.0,99.24,41.98375534246154,32000528.0,140721000000.0,55.48813559322034,1.282284975,86.06469945,12.30787277,31.66136128,31.5,1.230613947,1.1524999999999999,96.0,95.0,94.0,86.0955,1.64233141,1.137429995,1947000.0,11.365452780000002,82.32439024,82.64684456473684,1.1,116.6934991,1.4,20614.0,8.92467976,98.964225766,4.63823076923077,0.325523823,96.60434782608696,6.6,1.6,2.5,93.062376025,1.4316326530612244,39.51473137,27716.0,499914.0,1.230373263,0.0,1.260251999,11.485,89.9475,92.702538,85.836457,7.874,1.104692459,61.947826086956525,58.982608695652175
French Polynesia,PYF,100.0,82.66499999999999,42.07266085184615,24021543.75,411554000000.0,56.02203389830509,0.20637890699999994,86.93234834666667,7.50710213,43.05963699,32.175,0.2055178284999999,1.1516666666666666,85.5,85.0,79.0,79.61845,1.3646194375,1.076593569,1536500.0,14.076968520000001,79.486,79.77631820052632,1.1,106.2118461,2.425,-378.0,15.348946095,99.012168882,4.829923076923077,0.124875497,96.05652173913043,24.633333333333333,10.066666666666666,5.1,86.84407425,1.4612244897959183,27.855957234999998,14182.0,250093.0,0.2046231329999999,10.1,0.2774381935000001,10.7616,65.906875,91.181997,85.700111,7.018,0.10568270099999999,62.12173913043478,60.291304347826085
Gabon,GAB,91.8,66.09,42.16156636123077,16042559.5,682387000000.0,56.55593220338983,-0.869527161,87.79999724333334,2.70633149,91.27457601,32.85,-0.81957829,1.1508333333333332,75.0,75.0,64.0,73.1414,1.086907465,1.015757143,1126000.0,16.78848426,65.821,76.90579183631579,1.1,134.3173247,3.4499999999999997,1516.0,21.77321243,99.060111998,5.021615384615385,-0.075772829,95.50869565217391,42.66666666666667,18.533333333333335,23.0,80.625772475,1.4908163265306122,16.1971831,648.0,272.0,-0.821126997,20.2,-0.705375612,10.0382,41.86625,69.587905,57.767397,6.162,-0.893327057,62.29565217391304,61.6
"Gambia, The",GMB,63.7,68.295,42.250471870615385,8063575.25,342242650000.0,57.08983050847458,-0.382034093,88.66764614,3.18962693,23.41238142,33.525000000000006,-0.678520203,1.15,82.0,82.0,79.0,49.6646,7.370347589,0.954920717,715500.0,19.5,62.083,74.03526547210527,1.1,101.4408792,4.475,-1960.0,20.39666367,99.108055114,5.213307692307692,0.035266154,94.9608695652174,60.7,27.0,19.6,74.4074707,1.5204081632653061,8.620689655,1017.5,4418.0,-0.88969934,73.9,-0.406059206,9.3148,65.37916667,61.681529,55.422113,5.306,-0.105402499,62.469565217391306,62.21578947368421
Georgia,GEO,100.0,70.5,42.33937738,84591.0,2098300000.0,57.623728813559325,0.661190093,89.53529503666667,8.42,40.61591596,34.2,0.61816138,1.0711111111111111,85.0,85.0,90.0,76.4427,9.566914338,0.894084291,305000.0,12.51049167,71.694,71.16473910789473,1.1,147.7548843,5.5,-2734.0,31.2,99.15599823,5.405,-0.429646611,94.41304347826087,36.5,9.7,2.9,88.79543304,1.55,19.33333333,1387.0,1818.0,1.05341959,2.7,0.144988313,8.5914,90.36916667,85.6403,62.200108,4.45,0.010405933,62.643478260869564,62.83157894736842
Germany,DEU,100.0,99.98,40.28146701377778,33073180.0,37295440247.0,58.15762711864407,1.783171773,90.40294393333333,12.93412971,32.68267552,33.875,1.290827751,0.9922222222222221,91.0,87.0,97.0,91.4306,3.066666667,0.833247865,297125.0,11.516293641666667,80.7902439,68.29421274368421,1.1,127.5648538,4.675,312735.0,12.16129494,93.78905487,4.518,0.725666702,93.86521739130434,3.8,1.4,2.5,100.9737015,1.4721052631578948,34.91847826,33401.0,1255694.0,1.625161171,0.0,1.572336793,7.868,90.97583333,91.611887,84.731917,3.594,1.420018077,62.81739130434782,63.44736842105263
Ghana,GHA,86.3,68.23,38.223556647555554,559393.0,31663289350.0,58.69152542372882,-0.128527135,91.27059283,4.15176868,35.12867716,33.55,-0.176314116,0.9133333333333333,98.0,98.0,94.0,68.6,9.971088675,1.836565107,289250.0,10.522095613333335,63.795,65.42368637947368,1.1056603773584905,123.2115092,3.85,-11253.0,27.24682426,88.42211151,4.040444444444444,0.065785304,93.31739130434782,39.4,6.2,4.9,116.3222618,1.3942105263157896,14.54545455,23047.0,11894.0,-0.215175912,22.6,-0.106361292,9.261333333333333,64.14125,66.586328,57.603618,7.281666666666666,0.462129205,62.99130434782609,64.06315789473685
Gibraltar,GIB,100.0,81.555,36.16564628133334,4642869.0,25094002603.5,59.22542372881357,0.027462750499999994,92.13824172666668,6.66237831,0.0,33.225,0.11520375299999999,0.8344444444444443,98.5,97.0,95.5,73.54714999999999,5.597456842500001,1.344308834,281375.0,9.527897585,79.329,62.55316001526316,1.1113207547169812,104.5270891,3.0250000000000004,-58.0,30.288231845,88.23929850166667,3.5628888888888888,0.08354924650000001,92.7695652173913,22.849999999999998,3.85,3.7,131.6708221,1.3163157894736843,18.10606061,12693.0,65772.0,0.1058638915,11.450000000000001,0.10761622000000001,10.654666666666667,76.610833335,90.671423,84.953169,10.969333333333333,0.7039801324999999,63.165217391304346,64.67894736842105
Greece,GRC,100.0,94.88,34.107735915111114,8726345.0,18524715857.0,59.75932203389831,0.183452636,93.00589062333334,9.17298794,30.26997673,32.9,0.406721622,0.7555555555555555,99.0,96.0,97.0,78.4943,1.22382501,0.852052561,273500.0,8.533699556666667,80.08292683,59.68263365105263,1.116981132075472,110.0393141,2.2,-14806.0,33.32963943,88.05648549333333,3.085333333333333,0.101313189,92.22173913043478,6.3,1.5,2.5,98.85652161,1.2384210526315789,21.66666667,2339.0,119650.0,0.426903695,0.3,0.321593732,12.048,89.08041667,92.100353,83.301394,14.657,0.94583106,63.339130434782604,65.29473684210527
Greenland,GRL,100.0,81.99199999999999,32.04982554888889,6545200.29525,21612523750.25,60.293220338983055,1.001844883,93.87353952000001,7.43572092,0.000535997,32.983333333333334,0.748871744,0.6766666666666666,88.0,86.5,83.5,74.80484999999999,1.2216684745,2.4322858099999998,265625.0,7.539501528333334,71.81390244,56.81210728684211,1.1226415094339623,118.4236261,8.283333333333333,-62.0,43.502426145,87.873672485,2.6077777777777778,1.877370477,91.67391304347827,13.7,4.05,5.2,96.26816940500001,1.1605263157894736,34.16666667,2128.11,89857.25,1.358858824,9.425,1.687229514,15.57075,84.860520835,81.224448,70.410676,11.536249999999999,1.277428865,63.51304347826087,65.91052631578947
Grenada,GRD,93.7,69.104,29.99191518266667,4364055.5905,24700331643.5,60.8271186440678,0.494174868,94.74118841666667,5.6984539,52.05882353,33.06666666666666,0.018017454,0.5977777777777777,77.0,77.0,70.0,71.1154,1.219511939,4.012519059,257750.0,6.5453035,74.936,53.94158092263158,1.1283018867924528,81.06733007,14.366666666666667,-85.0,53.67521286,87.69085947666667,2.130222222222222,1.040163636,91.12608695652173,21.1,6.6,7.9,93.6798172,1.0826315789473684,46.66666667,1917.22,60064.5,0.307351559,18.55,0.489527076,19.0935,80.640625,84.500863,74.282637,8.4155,0.725593209,63.68695652173913,66.52631578947368
Guam,GUM,100.0,56.215999999999994,27.93400481644445,2182910.8857499994,27788139536.75,61.36101694915254,1.279871821,95.60883731333334,6.2996397,51.85185185,33.15,0.639231384,0.5188888888888888,78.0,78.0,75.5,60.9785,2.7402816065,12.001441679500001,249875.0,9.36640175,76.656,51.071054558421054,1.1339622641509435,103.35804063500001,20.45,-244.0,57.327518465,87.50804646833333,1.6526666666666663,0.877565145,90.57826086956521,40.45,13.850000000000001,10.600000000000001,91.091464995,1.0047368421052632,33.020833335,1706.33,30271.75,0.534613013,27.675,1.138901711,22.61625,76.420729165,85.000045,73.524062,5.2947500000000005,1.10831809,63.860869565217385,67.1421052631579
Guatemala,GTM,97.9,43.327999999999996,25.876094450222226,1766.181,30875947430.0,61.89491525423729,-1.192137122,96.47648621,6.9008255,32.81261665,33.233333333333334,-0.782320499,0.44,79.0,79.0,81.0,50.8416,4.261051274,19.9903643,242000.0,12.1875,69.237,48.20052819421053,1.1396226415094342,125.6487512,26.53333333333333,-29118.0,60.97982407,87.32523346,1.1751111111111108,-0.395547092,90.0304347826087,59.8,21.1,13.3,88.50311279,0.9268421052631579,19.375,1495.44,479.0,-0.327891737,36.8,-1.109790802,26.139,72.20083333,74.079034,60.863834,2.174,-0.464397669,64.03478260869565,67.7578947368421
Guinea,GIN,46.8,30.44,23.818184084000002,3681.4539999999997,675022240654.2858,62.42881355932204,-1.022385359,96.60440781882353,3.75556707,25.02441804,33.31666666666666,-0.953995585,1.1566666666666667,47.0,47.0,47.0,31.311,12.59728826,18.754259483333332,185750.0,11.083333333333334,58.892,45.33000183,1.1452830188679246,101.9442494,32.61666666666667,-4367.0,53.46712875,87.71420288200001,0.6975555555555553,-0.939894259,89.48260869565217,73.1,49.5,12.9,63.18399811,0.8489473684210527,16.550245099999998,1284.55,5741.0,-0.980414152,59.5,-1.160717487,27.2944,57.8525,57.681176,52.633923,3.4404000000000003,-0.988577724,64.20869565217392,68.37368421052632
Guinea-Bissau,GNB,35.8,32.292500000000004,21.760273717777782,5596.727,1319168533878.5715,62.962711864406785,-1.319930077,96.73232942764706,8.2233429,70.11273115,33.4,-1.447954178,1.8733333333333333,67.0,67.0,63.0,28.5397,2.242488796,17.518154666666668,129500.0,9.979166666666666,59.652,54.29166793666667,1.150943396226415,108.5305095,38.7,-1395.0,59.9703598,88.10317230400001,0.22,-0.280024618,88.93478260869566,77.8,32.0,37.9,74.366149908,0.7710526315789474,13.7254902,1073.6599999999999,1846.0,-1.275529623,82.2,-1.461930871,28.4498,37.30916667,57.929886,47.580897,4.7068,-0.239976645,64.38260869565217,68.98947368421052
